target,id,date,query,user,text
4,2049894532,Fri Jun 05 17:41:28 PDT 2009,NO_QUERY,lisameals,i think its awesome i can see shanu work on the drillfloor from my office window on the rig. teehee. he's back and i am whole again. 
0,2206950928,Wed Jun 17 07:16:50 PDT 2009,NO_QUERY,wayytogayy4me,earth science regents today 
0,2324600544,Thu Jun 25 03:34:23 PDT 2009,NO_QUERY,lindseymaemusic,Headache 
4,2000503818,Mon Jun 01 22:15:51 PDT 2009,NO_QUERY,jameshughesblog,"Building a fanbase, check out my blog at http://jameshughesblog.com . Leave a comment if you have a spare minute "
4,2051706151,Fri Jun 05 22:36:30 PDT 2009,NO_QUERY,googirlsmiles,"@WVGooStreetTeam  What a big heart Crystal, sounds like a long day, hope it's a good one "
4,1795751461,Thu May 14 08:18:31 PDT 2009,NO_QUERY,bmatt,@katska hehe ... you need to have all your tabs or apps opened before otherwise it doesn't let you. I don't understand why but it works 
0,1966921824,Fri May 29 18:38:42 PDT 2009,NO_QUERY,maddieque,@graciegirla23 nope sorry i don't have a youtube account yet! 
0,2286221400,Mon Jun 22 16:09:20 PDT 2009,NO_QUERY,Zappos_laceface,@BottleCat It was starting to look carrot colored. Ick. Now its a beautiful auburn. Except nobody noticed. 
4,1980410883,Sun May 31 06:39:54 PDT 2009,NO_QUERY,miserylied,I can't wait to go to the in crowd concert. 
0,2223164504,Thu Jun 18 07:56:04 PDT 2009,NO_QUERY,brett_n,"i, uhh, shouldn't have eaten the mac and cheese.. ughh  i shared it with my nanny"
4,2018641322,Wed Jun 03 10:16:54 PDT 2009,NO_QUERY,hetzakoatl,"@Felysha Oh, have you heard Marilyn Manson's version? "
4,1999179359,Mon Jun 01 19:46:37 PDT 2009,NO_QUERY,sophy23,Long work out today 
4,1932995948,Tue May 26 22:43:37 PDT 2009,NO_QUERY,PussyPrevails,LOL. I can't HELP it. I'm glad it keeps you entertained tho.  @royallyme
0,1932844737,Tue May 26 22:21:14 PDT 2009,NO_QUERY,Ameliarrrrrose,@jeskasites  I miss you too! everyone just disappoints me except you!
4,1971844917,Sat May 30 08:01:23 PDT 2009,NO_QUERY,juliarygaard,"@nil17 Ummmm....if you're waiting for that, you could be waiting quite awhile! "
0,2295607939,Tue Jun 23 08:08:44 PDT 2009,NO_QUERY,jonnieashley,just ate a whole pack of Tucs 
0,2218594734,Wed Jun 17 22:46:18 PDT 2009,NO_QUERY,cogaz,I think I'm going to bed... Tired don't feel good. 
4,2190925494,Tue Jun 16 04:05:33 PDT 2009,NO_QUERY,irislearning,the grass grows greener where you choose to water it 
0,2182852249,Mon Jun 15 13:43:13 PDT 2009,NO_QUERY,RachelRieger_93,NOOOO!!!! It's storming outside 
0,2187408067,Mon Jun 15 20:14:16 PDT 2009,NO_QUERY,meggytron,@devidarkwolf but everything's sold out 
0,1992009345,Mon Jun 01 08:02:43 PDT 2009,NO_QUERY,NickyLovesMcFly,Wee! Home! It's so hot  Xx My internet is going off soon  While Mum moves in and Dad moves out  Bad times. Try not to miss me!
0,2261812569,Sat Jun 20 21:23:29 PDT 2009,NO_QUERY,deweyshideout,Laptop still R.I.Ping. I hope the IT guys at church can fix it tomorrow   Night night for now xoxo.
4,1995981377,Mon Jun 01 14:20:53 PDT 2009,NO_QUERY,LuvLatinMass,@EmilyFertitta Thank you so much for your kind comment!  What is your dog like?
4,1685263149,Sat May 02 23:40:15 PDT 2009,NO_QUERY,styleish,@loveMaegan I need a pretty updo for my sister's wedding.  would love a hair to for that! 
4,1981902737,Sun May 31 10:07:31 PDT 2009,NO_QUERY,oh_btw_porscha,@kelseysmiff i'm glad i got out when i could  ahahaha i love you &lt;3
4,1833527668,Sun May 17 23:34:32 PDT 2009,NO_QUERY,SweetTartelette,Time for me to get out of here 
4,2064851704,Sun Jun 07 07:19:32 PDT 2009,NO_QUERY,deesbtlyw,"@ShaneSakata wow, you are brave!   Food is a great way to immerse yourself in new cultures. Have a nice Sunday, Dee"
4,1975709458,Sat May 30 15:44:03 PDT 2009,NO_QUERY,britttnicole,LIVE CHAT http://www.justin.tv/brittanynicoleofficial WITH CAITLIN!  we're setting up right now! join us! 
0,2236112392,Fri Jun 19 02:53:09 PDT 2009,NO_QUERY,twitchdude,grrrrr.... after standing in a 2 hr. long queue in clg...sucked there nw this rapid share ..... just willing to let all these fire... 
0,1932973567,Tue May 26 22:40:14 PDT 2009,NO_QUERY,Forerunner403,I sat on my finger and hurteded it! 
0,1881091739,Fri May 22 03:34:18 PDT 2009,NO_QUERY,Abby_ka_dabby,http://twitpic.com/5omwy - He doesn't like to share... 
4,1564365002,Mon Apr 20 03:07:55 PDT 2009,NO_QUERY,jatheist,@billt I think you mean @AIannucci is the real one 
4,1676511663,Fri May 01 22:16:02 PDT 2009,NO_QUERY,gunarrr,I randomly feel the urge to tell you my favorite Mayday Parade song.  It's a tie between Jersey and Ocean and Atlantic. (:
0,2052031080,Fri Jun 05 23:27:37 PDT 2009,NO_QUERY,lexlamont,Her last Mother's Day I spent it with my GF instead of her. The card is still in the backseat of my car. 
0,1693647963,Sun May 03 23:15:45 PDT 2009,NO_QUERY,simv,@mathewferguson I've just written up an article detailing the _vti_logs hack on my website. Venezuelan fishing scam http://bit.ly/vWOnk 
4,1982150156,Sun May 31 10:37:42 PDT 2009,NO_QUERY,Jeremythegeek,@fromwherever: The only bad part is that I can't find any of my stuff because hes hid it away in a stack somewhere 
0,1973565540,Sat May 30 11:24:01 PDT 2009,NO_QUERY,danger_skies,"Oh, they just said. Thanks Dec. No Diversity next, so I should go  Bad times."
4,1834605091,Mon May 18 03:34:06 PDT 2009,NO_QUERY,Sirley,http://twitpic.com/5f3va - Thanks Carmen 
4,2002899277,Tue Jun 02 05:25:54 PDT 2009,NO_QUERY,SJBridle,@tommcfly My Vote is for the up close to the mike Picture  tweet
0,1969639193,Sat May 30 00:42:04 PDT 2009,NO_QUERY,jordanalorraine,@DebbieannR well isn't that inconvenient  try their website www.brazilianblowout.com to see if they have any stylists in Puerto Rico yet!
0,2242384971,Fri Jun 19 12:07:28 PDT 2009,NO_QUERY,BreezB,I want sushi for lunch- but my spot is too far from work  Maybe tonight...
0,2177422202,Mon Jun 15 06:04:43 PDT 2009,NO_QUERY,TannaN84,"I hate mondays,nothing good comes out of them which means my bday will suck its in 2 wks on a monday "
4,1979771486,Sun May 31 04:26:26 PDT 2009,NO_QUERY,AmiiOx,@_spikes_ http://twitpic.com/6bsem - MY BROTHER  xx
4,1932830381,Tue May 26 22:19:15 PDT 2009,NO_QUERY,tinkerbell414,Im trying out twitter to see what all the fuss is about 
4,2190821973,Tue Jun 16 03:49:22 PDT 2009,NO_QUERY,Filiz_17,waiting for schools out  see ya @san marco 
4,2187840990,Mon Jun 15 20:53:18 PDT 2009,NO_QUERY,veddersgirl,@DanySpike btwn FF and all the new pics of HHH. I've been useless. 
4,2052273342,Sat Jun 06 00:11:14 PDT 2009,NO_QUERY,Joseph1391,So now I really need to go to bed because I have to be up for work in 6 hours! Good night ya'll 
4,1687902488,Sun May 03 09:52:19 PDT 2009,NO_QUERY,Dizzydalek,"Sun is out, suppose I should really start doing something .......... nah "
0,2216814116,Wed Jun 17 20:00:19 PDT 2009,NO_QUERY,Doriosity,omg creamsicle ice cream :O...but I don't even want to eat it...this is sad 
0,2063648867,Sun Jun 07 03:31:22 PDT 2009,NO_QUERY,KellyTheCoolKid,@bikinifreak Gurd! Yeah it is here as well. Wish the sun would come out instead of it being cloudy all the time! 
4,2046661858,Fri Jun 05 12:30:33 PDT 2009,NO_QUERY,Spacecable,@ejblackburn Glastonbury will be good weather I can feel it in my bones  plus I refuse to do another wet year!
4,1573169128,Tue Apr 21 00:00:08 PDT 2009,NO_QUERY,AceBlack,And the winner tonight is. LATIN WOMEN  twitter has spoken
0,1793775967,Thu May 14 03:57:10 PDT 2009,NO_QUERY,A_11,Done shopping for paints and equipments and stuffs. Wore matching color jacket with staffs at Bunnings but still didn't get any discount. 
0,2205077266,Wed Jun 17 03:53:57 PDT 2009,NO_QUERY,aRiElLeDomnique,"I don't like being up b4 the sun, bc it means I have to go to bed b4 the sun goes down "
0,2057835368,Sat Jun 06 13:45:09 PDT 2009,NO_QUERY,olafsearson,"@seanpaull Hey mate, was trying to take ER off, but it's all copyright protected. Can't move it!  You OK?"
4,1978989355,Sun May 31 01:11:46 PDT 2009,NO_QUERY,Vanilla_kisses,Can't wait! Have to take you some pictures  Have a wonderful day! xx
4,1554043296,Sat Apr 18 15:54:49 PDT 2009,NO_QUERY,saveethescene,Is prepin' for 420 festival tonight...and I got to leave work an hour early! They love me after all! 
4,1835080577,Mon May 18 05:05:02 PDT 2009,NO_QUERY,ravyn,"@ticia42 heh i'm shocked i didn't get very drowsy, just tired. But i won't be able to work on the corset today unless i nap "
4,1999297890,Mon Jun 01 19:58:49 PDT 2009,NO_QUERY,juniperus,@Lisa_OMS I'm sure LOLRez feels the same way. 
0,1694897229,Mon May 04 04:31:43 PDT 2009,NO_QUERY,TraceyHewins,@nuttychris Sadly. Nothing 
4,2069641712,Sun Jun 07 16:15:12 PDT 2009,NO_QUERY,emmie_here01,@logibear0125 ill try to go just for you 
4,1695029359,Mon May 04 04:58:42 PDT 2009,NO_QUERY,ajaymohanreddy,"@neo_indian hehe very true  but you've got the color advantage, which the complete americans haven't "
4,1985002127,Sun May 31 16:13:55 PDT 2009,NO_QUERY,JerusalemBureau,now prof. kasher is talking about how to defend soldiers. through their eqpmt. I'm getting bored. stopping now. got yoga AM. 
4,1999082068,Mon Jun 01 19:36:40 PDT 2009,NO_QUERY,jhgagle,"@pastornoey really?!  I mean, seriously?  Of COURSE they're around! "
0,2192055096,Tue Jun 16 06:26:00 PDT 2009,NO_QUERY,hayleylovesju,is in it boreddddd 
4,1676890976,Fri May 01 23:35:57 PDT 2009,NO_QUERY,lotay,@BrianDeagon sound advice. 
0,2072194646,Sun Jun 07 20:34:09 PDT 2009,NO_QUERY,darthcorrie,"@AnnLarimer Yeah, that too. "
0,2190261988,Tue Jun 16 02:13:34 PDT 2009,NO_QUERY,poppitsherface,@natalierawr No reply  That's okay I suppose.
0,2203556446,Wed Jun 17 00:00:23 PDT 2009,NO_QUERY,absatou,Good morning tweoples! When is june 17 in Apple world? I don't see the iPhone 3.0 update 
0,2235870698,Fri Jun 19 02:16:50 PDT 2009,NO_QUERY,kreacheryl,@allikatetor i love yours too  I HAVE NOTICED THAT KATHRYN you wake up when im in my pjs
0,2192504559,Tue Jun 16 07:08:10 PDT 2009,NO_QUERY,essencerenata,@NewerDeal stayed up all night fucking with I tunes now im sleepy at work and my phone is being a slut 
0,1967369870,Fri May 29 19:27:21 PDT 2009,NO_QUERY,nicksynet,Are have all my cunstomers decided to be assholes tonight? 
4,2193103395,Tue Jun 16 08:00:09 PDT 2009,NO_QUERY,The_Space_Cakes,"Finally! The Space Ð¡akes are on Twitter! Welcome, guys    Ð?Ð°ÐºÐ¾Ð½ÐµÑ-ÑÐ¾! The Space Ð¡akes ÑÐµÐ¿ÐµÑÑ Ð¸ Ð² Ð¢Ð²Ð¸ÑÐµÑÐµ! ÐÐ¾Ð±ÑÐ¾ Ð¿Ð¾Ð¶Ð°Ð»Ð¾Ð²Ð°ÑÑ, Ð´ÑÑÐ·ÑÑ? "
4,2065541913,Sun Jun 07 08:48:31 PDT 2009,NO_QUERY,caaaayyyyt,@tommcfly hopee youu win the mr twitter universe thing  you deserve because your tweets cheer me up [:
0,1836098518,Mon May 18 07:22:02 PDT 2009,NO_QUERY,Merlene,@AdeleMcAlear Congrats on the MBP! Stores are open there? Even grocery stores are closed here today 
0,2050854479,Fri Jun 05 19:24:48 PDT 2009,NO_QUERY,SteveGodbold,tablet battery is shot.... 100% charge == 5 minutes of use... 
4,1980399757,Sun May 31 06:37:52 PDT 2009,NO_QUERY,SlyCatUK,"@Panthras Gave in, had one of their new Strawberries &amp; Kreme varieties "
0,2060127434,Sat Jun 06 18:18:41 PDT 2009,NO_QUERY,sally_las_vegas,Don't cry bridget!  aw. That part was sad.
4,1677054867,Sat May 02 00:15:54 PDT 2009,NO_QUERY,Vemsteroo,"Early morning walk to the bakers for pain au chocolat in the sunshine, listening to Death Cab "
4,2062338479,Sat Jun 06 22:57:25 PDT 2009,NO_QUERY,katesoto0,getting my toes done at a salon in bowie cause i'm an idiot and waited till last minute. 
0,2240439874,Fri Jun 19 09:44:54 PDT 2009,NO_QUERY,dancing4meg,http://twitpic.com/7t7vp - Jonas brothers taking their bow but sad cuz it was over  was the best concert ive evaa been to seriously!
0,2048365648,Fri Jun 05 15:05:02 PDT 2009,NO_QUERY,1AdrianNeal,@KRYSSIBABY really awww  LOL
4,1835532748,Mon May 18 06:12:20 PDT 2009,NO_QUERY,Sternchen894,@LenaGoesToBed hey how was your weekend? 
0,2191842309,Tue Jun 16 06:04:04 PDT 2009,NO_QUERY,girlnamediandra,I have the most boring twitter on earth... 
